Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Marketing Data Scientist,$80K - $90K (Glassdoor est.),3.6,"Domino's
3.6","Ann Arbor, MI",10000+ Employees,1960,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD)
Data Scientist,$68K - $117K (Glassdoor est.),3.7,"Cognizant Technology Solutions
3.7","Dearborn, MI",10000+ Employees,1994,Company - Public,Consulting,Business Services,$10+ billion (USD)
Data Scientist - ProServe,$85K - $143K (Glassdoor est.),3.8,"Amazon Web Services, Inc.
3.8","Detroit, MI",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Research Data Analyst,$46K - $83K (Glassdoor est.),4.1,"University of Detroit Mercy
4.1","Detroit, MI",501 to 1000 Employees,1871,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
Junior Data Scientist,$70K - $119K (Glassdoor est.),1.8,"Soothsayer Analytics
1.8","Livonia, MI",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Data Scientist - Customer Service,$65K - $105K (Glassdoor est.),4.2,"DTE Energy
4.2","Detroit, MI",10000+ Employees,1903,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
"Associate Data Scientist, Supply Chain",$64K - $121K (Glassdoor est.),4.3,"Coupa
4.3","Ann Arbor, MI",1001 to 5000 Employees,2006,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Data Scientist (Demolition Department),$61K - $103K (Glassdoor est.),3.6,"City of Detroit
3.6","Detroit, MI",5001 to 10000 Employees,1701,Government,Municipal Governments,Government,Unknown / Non-Applicable
Data Scientist,-1,-1,Cavnue,"Detroit, MI",-1,-1,-1,-1,-1,-1
Data Scientist,$81K - $105K (Glassdoor est.),1.8,"Soothsayer Analytics
1.8","Livonia, MI",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
